Clapeyron Database File
iPCSAFT Like Parameters
species,Mw,segment,sigma,epsilon,v_shift,n_H,n_e,source
carbon disulfide,76.1407,1.8339,3.5432,319.894,9.24e-07,0,0,
carbon monoxide,28.0101,1.3571,3.211,89.7675,-2.45e-07,0,0,
carbon tetrachloride,153.8227,2.4578,3.8591,279.697,1.42e-05,0,0,
R14,88.004313,2.3537,3.1049,116.72,3.82e-06,0,0,
carbonyl fluoride,66.006906,3.1573,2.6504,133.569,-1.28e-05,0,0,
CarbonylSulfide,60.0751,1.7302,3.429,226.055,5.11e-06,0,0,
chlorine,70.906,1.516,3.474,266.255,3.83e-06,0,0,
chlorodifluoromethane,86.468446,2.6632,3.1806,178.941,1.07e-05,0,0,
chlorofluoromethane,68.477983,2.5981,3.2324,209.237,1.89e-05,0,0,
chloroform,119.37764,2.6837,3.4792,259.011,9.4e-06,0,0,
R115,154.466416,2.912,3.5322,164.446,1.06e-05,0,0,
chlorotrifluoromethane,104.45891,2.2977,3.4033,156.714,6.66e-06,0,0,
"cis,trans-2,4-hexadiene",82.1436,3.0982,3.8971,243.901,3.56e-05,0,0,
"cis-1,2-dimethylcyclohexane",112.21264,2.7651,4.4118,288.789,4.55e-05,0,0,
"cis-1,2-dimethylcyclopentane",98.18606,3.0272,3.9577,258.771,2.12e-05,0,0,
"cis-1,3-dimethylcyclohexane",112.21264,2.797,4.3573,280.203,3.38e-05,0,0,
"cis-1,3-dimethylcyclopentane",98.18606,3.0896,3.8957,250.094,1.06e-05,0,0,
"cis-1,3-pentadiene",68.11702,2.1095,4.1906,269.82,2.78e-05,0,0,
"cis-1,4-dimethylcyclohexane",112.21264,2.755,4.3979,285.441,3.92e-05,0,0,
cis-1-propenylbenzene,118.1757,3.6132,3.9612,285.508,4.03e-05,0,0,
cis-2-Butene,56.10632,2.5294,3.6163,216.048,1.32e-05,0,0,
cis-2-decene,140.2658,4.6823,4.0377,239.816,5.66e-05,0,0,
cis-2-heptene,98.18606,3.5757,3.921,232.307,3.7e-05,0,0,
cis-2-hexene,84.15948,3.1918,3.8652,228.937,2.94e-05,0,0,
cis-2-octene,112.21264,3.9917,3.9456,234.133,4.33e-05,0,0,
cis-2-pentene,70.1329,2.8651,3.7398,222.768,1.68e-05,0,0,
cis-3-heptene,0.0,3.2507,4.064,242.113,3.66e-05,0,0,
cis-3-hexene,84.15948,3.1242,3.8851,229.938,2.66e-05,0,0,
cis-3-octene,112.21264,3.9208,3.9656,234.504,4.27e-05,0,0,
cis-4-octene,112.21264,3.9637,3.9469,233.12,4.24e-05,0,0,
cis-decahydronaphthalene,138.24992,3.127,4.3129,317.726,3.57e-05,0,0,
cumene,120.19158,3.5054,3.9853,271.766,3.28e-05,0,0,
cyclobutane,56.10632,2.3978,3.5473,233.905,1.04e-05,0,0,
cycloheptane,98.18606,2.8301,4.0049,284.904,1.85e-05,0,0,
cycloheptene,96.17018,2.9143,3.8864,278.367,1.3e-05,0,0,
CycloHexane,84.15948,2.5769,3.9334,272.395,1.52e-05,0,0,
cyclohexene,82.1436,2.6096,3.8485,274.055,1.52e-05,0,0,
cyclohexyl acetate,142.19556,4.2465,3.7751,259.177,3.09e-05,0,0,
cyclohexyl mercaptan,116.22448,3.0108,3.9911,304.744,2.21e-05,0,0,
cyclooctane,112.21264,2.9193,4.1491,301.043,2.33e-05,0,0,
Cyclopentane,70.1329,2.4756,3.7574,256.389,1.39e-05,0,0,
cyclopentanone,84.11642,3.194,3.6445,279.489,3.32e-05,0,0,
cyclopentene,68.11702,2.4851,3.664,253.582,9.99e-06,0,0,
CycloPropane,42.07974,1.9638,3.4936,222.909,5.67e-06,0,0,
deuterium oxide,20.027604,3.8085,2.058,268.357,7.13e-06,0,0,
dibenzofuran,168.19132,4.0703,3.9488,334.809,3.66e-05,0,0,
diborane,21.622,1.9886,3.4731,161.303,3.07e-06,0,0,
dibromomethane,173.83458,2.5877,3.3632,299.956,3.52e-06,0,0,
dichlorodifluoromethane,120.913506,2.3594,3.5796,197.271,8.62e-06,0,0,
R21,102.923043,2.5522,3.4043,223.099,1.07e-05,0,0,
dichloromethane,84.93258,2.5044,3.3839,254.168,1.45e-05,0,0,
dicyclohexyl sulfide,198.36808,4.0441,4.3608,326.661,4.06e-05,0,0,
dicyclopentadiene,132.20228,3.1968,4.2512,295.265,4.2e-05,0,0,
diethyl disulfide,122.2522,3.6592,3.7061,271.8,2.01e-05,0,0,
DiethylEther,74.1216,3.1426,3.5967,210.302,2.04e-05,0,0,
diethyl succinate,174.19436,6.5275,3.4286,230.154,3.78e-05,0,0,
diethyl sulfide,90.1872,3.2125,3.6804,248.742,2.04e-05,0,0,
difluoromethane,52.023386,3.112,2.8136,158.941,1.49e-05,0,0,
dihexyl adipate,314.46016,9.9328,3.7129,238.704,4.9e-05,0,0,
diiodomethane,267.83552,2.0598,4.2577,408.647,3.42e-05,0,0,
diisobutyl ether,130.22792,4.2737,3.8512,224.253,2.26e-05,0,0,
diisooctyl phthalate,390.55612,9.8837,3.9993,265.149,8.43e-05,0,0,
diisopropyl ether,102.17476,3.5942,3.7881,213.216,2.08e-05,0,0,
diisopropyl sulfide,118.24036,3.4036,3.9224,255.078,1.41e-05,0,0,
dimethyl disulfide,94.19904,2.5605,3.7275,303.385,1.15e-05,0,0,
DimethylEther,46.06844,2.5167,3.2473,198.949,8.28e-06,0,0,
dimethyl sulfide,62.13404,2.4708,3.4929,252.275,1.32e-05,0,0,
dimethyl sulfoxide,78.13344,3.1386,3.606,328.677,3.16e-05,0,0,
"dimethyl-1,4-cyclohexanedicarboxylate",0.0,6.0411,3.6869,261.476,5.91e-05,0,0,
dimethylacetylene,54.09044,2.8123,3.4122,223.756,1.55e-05,0,0,
dimethyldichlorosilane,129.06054,3.0367,3.8293,237.935,1.56e-05,0,0,
di-n-butyl ether,130.22792,4.4607,3.8728,229.477,3.84e-05,0,0,
