Clapeyron Database File,,,,,
ogUNIFAC Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,A,source
H2O,,CH3COO~|~CH2COO,,72.87,
H2O,,HCOO,,233.87,
H2O,,CH3O~|~CH2O~|~CHO~|~THF,,540.5,
H2O,,CH3NH2~|~CH2NH2~|~CHNH2,,48.89,
H2O,,CH3NH~|~CH2NH~|~CHNH,,168,
H2O,,CH3N~|~CH2N,,304,
H2O,,ACNH2,,243.2,
H2O,,C5H5N~|~C5H4N~|~C5H3N,,459,
H2O,,CH3CN~|~CH2CN,,112.6,
H2O,,COOH~|~HCOOH,,-14.09,
H2O,,CH2CL~|~CHCL~|~CCL,,325.44,
H2O,,CH2CL2~|~CHCL2~|~CCL2,,370.4,
H2O,,CHCL3~|~CCL3,,353.68,
H2O,,CCL4,,497.54,
H2O,,ACCL,,133.9,
H2O,,CH3NO2~|~CH2NO2~|~CHNO2,,220.6,
H2O,,ACNO2,,399.5,
H2O,,CS2,,887.1,
H2O,,FURFURAL,,188.026,
H2O,,DOH,,12.72,
H2O,,BR,,777.1,
H2O,,DMSO,,-139,
H2O,,ACRY,,160.8,
H2O,,DMF~|~HCON(..,,319,
H2O,,COO,,-197.5,
H2O,,SIH3~|~SIH2~|~SIH~|~SI,,-363.8,
H2O,,NMP,,-452.2,
H2O,,AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,835.6,
H2O,,C2H5O2~|~C2H4O2,,139.6,
H2O,,MORPH,,407.9,
H2O,,(CH2)2SU~|~CH2CHSU,,-255.63,
ACOH,,CH3CO~|~CH2CO,,-356.1,
ACOH,,CHO,,-271.1,
ACOH,,CH3COO~|~CH2COO,,-449.4,
ACOH,,HCOO,,-32.52,
ACOH,,CH3O~|~CH2O~|~CHO~|~THF,,-162.8742,
ACOH,,CH3NH2~|~CH2NH2~|~CHNH2,,-832.97,
ACOH,,ACNH2,,119.9,
ACOH,,C5H5N~|~C5H4N~|~C5H3N,,-305.5,
ACOH,,COOH~|~HCOOH,,408.9,
ACOH,,CH2CL2~|~CHCL2~|~CCL2,,517.27,
ACOH,,CCL4,,1827,
ACOH,,ACCL,,6915,
ACOH,,ACNO2,,-413.48,
ACOH,,CS2,,8483.5,
ACOH,,DOH,,-687.1,
ACOH,,COO,,-494.2,
ACOH,,NMP,,-659,
ACOH,,C4H4S~|~C4H3S~|~C4H2S,,1005,
CH3CO~|~CH2CO,,CHO,,-37.36,
CH3CO~|~CH2CO,,CH3COO~|~CH2COO,,-213.7,
CH3CO~|~CH2CO,,HCOO,,-190.4,
CH3CO~|~CH2CO,,CH3O~|~CH2O~|~CHO~|~THF,,-103.6,
CH3CO~|~CH2CO,,CH3NH~|~CH2NH~|~CHNH,,-174.2,
CH3CO~|~CH2CO,,CH3N~|~CH2N,,-169,
CH3CO~|~CH2CO,,ACNH2,,6201,
CH3CO~|~CH2CO,,C5H5N~|~C5H4N~|~C5H3N,,7.341,
CH3CO~|~CH2CO,,CH3CN~|~CH2CN,,481.7,
CH3CO~|~CH2CO,,COOH~|~HCOOH,,669.4,
CH3CO~|~CH2CO,,CH2CL~|~CHCL~|~CCL,,-191.69,
CH3CO~|~CH2CO,,CH2CL2~|~CHCL2~|~CCL2,,-130.3,
CH3CO~|~CH2CO,,CHCL3~|~CCL3,,-354.55,
CH3CO~|~CH2CO,,CCL4,,-39.2,
CH3CO~|~CH2CO,,ACCL,,-119.8,
CH3CO~|~CH2CO,,CH3NO2~|~CH2NO2~|~CHNO2,,137.5,
CH3CO~|~CH2CO,,ACNO2,,548.5,
CH3CO~|~CH2CO,,CS2,,216.138,
CH3CO~|~CH2CO,,CH3SH~|~CH2SH,,-46.28,
CH3CO~|~CH2CO,,FURFURAL,,-163.7,
CH3CO~|~CH2CO,,DOH,,71.46,
CH3CO~|~CH2CO,,I,,53.59,
CH3CO~|~CH2CO,,BR,,245.2,
CH3CO~|~CH2CO,,CH=-C~|~C=-C,,-246.6,
CH3CO~|~CH2CO,,DMSO,,-44.58,
CH3CO~|~CH2CO,,ACRY,,-63.5,
CH3CO~|~CH2CO,,CL-(C=C),,-34.57,
CH3CO~|~CH2CO,,DMF~|~HCON(..,,-61.7,
CH3CO~|~CH2CO,,COO,,-18.8,
CH3CO~|~CH2CO,,SIH3~|~SIH2~|~SIH~|~SI,,-588.9,
CH3CO~|~CH2CO,,C2H5O2~|~C2H4O2,,37.54,
CH3CO~|~CH2CO,,C4H4S~|~C4H3S~|~C4H2S,,-162.6,
CHO,,CH3COO~|~CH2COO,,-110.3,
CHO,,HCOO,,766,
CHO,,CH3O~|~CH2O~|~CHO~|~THF,,304.1,
CHO,,CH3CN~|~CH2CN,,-106.4,
CHO,,COOH~|~HCOOH,,497.5,
CHO,,CH2CL~|~CHCL~|~CCL,,751.9,
CHO,,CH2CL2~|~CHCL2~|~CCL2,,67.52,
CHO,,CHCL3~|~CCL3,,-483.7,
CHO,,I,,117,
CHO,,CH=-C~|~C=-C,,2.21,
CHO,,ACRY,,-339.2,
CHO,,CL-(C=C),,172.4,
CHO,,DMF~|~HCON(..,,-268.8,
CHO,,COO,,-275.5,
CH3COO~|~CH2COO,,HCOO,,-241.8,
CH3COO~|~CH2COO,,CH3O~|~CH2O~|~CHO~|~THF,,-235.7,
CH3COO~|~CH2COO,,CH3NH~|~CH2NH~|~CHNH,,-73.5,
CH3COO~|~CH2COO,,CH3N~|~CH2N,,-196.7,
CH3COO~|~CH2COO,,ACNH2,,475.5,
CH3COO~|~CH2COO,,C5H5N~|~C5H4N~|~C5H3N,,-0.13,
CH3COO~|~CH2COO,,CH3CN~|~CH2CN,,494.6,
CH3COO~|~CH2COO,,COOH~|~HCOOH,,660.2,
CH3COO~|~CH2COO,,CH2CL~|~CHCL~|~CCL,,-34.74,
CH3COO~|~CH2COO,,CH2CL2~|~CHCL2~|~CCL2,,108.85,
CH3COO~|~CH2COO,,CHCL3~|~CCL3,,-209.66,
CH3COO~|~CH2COO,,CCL4,,54.57,
CH3COO~|~CH2COO,,ACCL,,442.4,
CH3COO~|~CH2COO,,CH3NO2~|~CH2NO2~|~CHNO2,,-81.13,
CH3COO~|~CH2COO,,CS2,,183.046,
CH3COO~|~CH2COO,,FURFURAL,,202.25,
CH3COO~|~CH2COO,,DOH,,-101.7,
CH3COO~|~CH2COO,,I,,148.3,
CH3COO~|~CH2COO,,BR,,18.88,
CH3COO~|~CH2COO,,CH=-C~|~C=-C,,71.48,
CH3COO~|~CH2COO,,DMSO,,52.08,
CH3COO~|~CH2COO,,ACRY,,-28.61,
CH3COO~|~CH2COO,,CL-(C=C),,-275.2,
CH3COO~|~CH2COO,,DMF~|~HCON(..,,85.33,
CH3COO~|~CH2COO,,COO,,560.2,
CH3COO~|~CH2COO,,C2H5O2~|~C2H4O2,,151.8,
HCOO,,CH3O~|~CH2O~|~CHO~|~THF,,-234,
HCOO,,C5H5N~|~C5H4N~|~C5H3N,,-233.4,
HCOO,,CH3CN~|~CH2CN,,-47.25,
HCOO,,COOH~|~HCOOH,,-268.1,
HCOO,,CH2CL2~|~CHCL2~|~CCL2,,31,
HCOO,,CHCL3~|~CCL3,,-126.2,
HCOO,,CCL4,,179.7,
HCOO,,ACCL,,24.28,
HCOO,,CH3SH~|~CH2SH,,103.9,
HCOO,,BR,,298.13,
HCOO,,CL-(C=C),,-11.4,
HCOO,,DMF~|~HCON(..,,308.9,
HCOO,,COO,,-122.3,
CH3O~|~CH2O~|~CHO~|~THF,,CH3NH2~|~CH2NH2~|~CHNH2,,-78.36,
CH3O~|~CH2O~|~CHO~|~THF,,CH3NH~|~CH2NH~|~CHNH,,251.5,
CH3O~|~CH2O~|~CHO~|~THF,,CH3N~|~CH2N,,5422.2998,
CH3O~|~CH2O~|~CHO~|~THF,,ACNH2,,-46.39,
CH3O~|~CH2O~|~CHO~|~THF,,C5H5N~|~C5H4N~|~C5H3N,,213.2,
CH3O~|~CH2O~|~CHO~|~THF,,CH3CN~|~CH2CN,,-18.51,
CH3O~|~CH2O~|~CHO~|~THF,,COOH~|~HCOOH,,664.6,
CH3O~|~CH2O~|~CHO~|~THF,,CH2CL~|~CHCL~|~CCL,,301.14,
CH3O~|~CH2O~|~CHO~|~THF,,CH2CL2~|~CHCL2~|~CCL2,,137.77,
