Clapeyron Database File,,,,,,,
Antoine Like Parameters for saturation pressure,,,,,,,
CAS,species,A,B,C,Tmin,Tmax,source
107-83-5,isohexane~|~2-methylpentane,8.983319999999999,1145.8,227.815,246.9,356.5,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
96-14-0,3-methylpentane,8.99283,1162.37,228.286,249.0,359.72,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-83-2,"2,2-dimethylbutane",8.895900000000001,1090.16,230.517,237.4,345.89,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
79-29-8,"2,3-dimethylbutane",8.93486,1127.4,228.966,244.2,354.43,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
111-27-3,1-hexanol~|~hexan-1-ol,9.18948,1295.59,152.51,340.8,453.83,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
626-93-7,2-hexanol,9.93223,1696.19,204.43,324.5,434.97,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
623-37-0,3-hexanol,11.1625,2662.265,296.62,298.0,411.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
105-30-6,2-methyl-1-pentanol,11.1979,2625.143,276.33,298.0,423.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
590-36-3,2-methyl-2-pentanol,8.27663,811.05,126.6,309.5,419.12,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
626-89-1,4-methyl-1-pentanol,9.17605,1273.35,153.56,336.4,448.19,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
