Clapeyron Database File
PCPSAFT Assoc Parameters; Esper et al. (2023) [csvtype = assoc]
species1,site1,species2,site2,bondvol,epsilon_assoc,source
1-phenyl-1-propanol~|~a-ethylbenzylalcohol,a,1-phenyl-1-propanol~|~a-ethylbenzylalcohol,b,0.01842,2229.55281,10.1021/acs.iecr.3c02255
borazine,a,borazine,b,0.00365,686.97525,10.1021/acs.iecr.3c02255
cyclohexylmethanol,a,cyclohexylmethanol,b,0.0019,3230.87905,10.1021/acs.iecr.3c02255
"perfluorobutanoic acid~|~heptafluorobutanoic acid~|~butanoic acid, heptafluoro-",a,"perfluorobutanoic acid~|~heptafluorobutanoic acid~|~butanoic acid, heptafluoro-",b,0.9,1646.6201,10.1021/acs.iecr.3c02255
perfluoroheptanoic acid~|~tridecafluoroheptanoic acid,a,perfluoroheptanoic acid~|~tridecafluoroheptanoic acid,b,0.00484,3376.16162,10.1021/acs.iecr.3c02255
"1,5-pentanediamine~|~1,5-diaminopentane",a,"1,5-pentanediamine~|~1,5-diaminopentane",b,0.13041,2493.83639,10.1021/acs.iecr.3c02255
lactonitrile~|~2-hydroxy propionitrile,a,lactonitrile~|~2-hydroxy propionitrile,b,0.00126,4999.99998,10.1021/acs.iecr.3c02255
1-piperazineethanamine~|~n-(2-aminoethyl)piperazine~|~n-(.beta.-aminoethyl)piperazine),a,1-piperazineethanamine~|~n-(2-aminoethyl)piperazine~|~n-(.beta.-aminoethyl)piperazine),b,0.00157,1767.6496,10.1021/acs.iecr.3c02255
"1h,1h,11h-eicosafluoro-1-undecanol~|~1,1,11-trihydroperfluoro-1-undecanol",a,"1h,1h,11h-eicosafluoro-1-undecanol~|~1,1,11-trihydroperfluoro-1-undecanol",b,0.0001,3847.71083,10.1021/acs.iecr.3c02255
acetic acid 3-acetoxy-2-hydroxypropyl ester,a,acetic acid 3-acetoxy-2-hydroxypropyl ester,b,0.00042,5000.0,10.1021/acs.iecr.3c02255
"2,4-pentanediol~|~(+-)-2,4-pentanediol",a,"2,4-pentanediol~|~(+-)-2,4-pentanediol",b,0.00357,2504.70328,10.1021/acs.iecr.3c02255
2-(ethylamino)ethanol~|~mono-ethyl-ethanolamine,a,2-(ethylamino)ethanol~|~mono-ethyl-ethanolamine,b,0.0064,1805.53448,10.1021/acs.iecr.3c02255
cis-3-methylcyclohexanol,a,cis-3-methylcyclohexanol,b,0.02251,3482.05012,10.1021/acs.iecr.3c02255
trans-3-methylcyclohexanol,a,trans-3-methylcyclohexanol,b,0.0001,3697.22317,10.1021/acs.iecr.3c02255
cis-4-methylcyclohexanol,a,cis-4-methylcyclohexanol,b,0.0001,3553.29359,10.1021/acs.iecr.3c02255
"n,n'-bis(2-hydroxyethyl)ethylenediamine",a,"n,n'-bis(2-hydroxyethyl)ethylenediamine",b,0.01974,1422.0951,10.1021/acs.iecr.3c02255
"1,2,4-benzenetricarboxylic anhydride",a,"1,2,4-benzenetricarboxylic anhydride",b,0.00328,5000.0,10.1021/acs.iecr.3c02255
"l-menthol~|~dl-menthol~|~(1r,2s,5r)-(-)-2-isopropyl-5-methyl-cyclohexanol",a,"l-menthol~|~dl-menthol~|~(1r,2s,5r)-(-)-2-isopropyl-5-methyl-cyclohexanol",b,0.00178,2640.49485,10.1021/acs.iecr.3c02255
"2-methyl-1,3-propanediol",a,"2-methyl-1,3-propanediol",b,0.00428,2597.23233,10.1021/acs.iecr.3c02255
"2,2,4-trimethyl-1,3-pentanediol",a,"2,2,4-trimethyl-1,3-pentanediol",b,0.00042,2879.82766,10.1021/acs.iecr.3c02255
"cis-2-butene-1,4-diol",a,"cis-2-butene-1,4-diol",b,0.4871,3298.97865,10.1021/acs.iecr.3c02255
1-dodecanethiol~|~n-dodecyl mercaptan,a,1-dodecanethiol~|~n-dodecyl mercaptan,b,0.00031,3221.30897,10.1021/acs.iecr.3c02255
"1,4-cyclohexanedimethanol~|~1,4-cyclohexanedimethanol, cis/trans mixture",a,"1,4-cyclohexanedimethanol~|~1,4-cyclohexanedimethanol, cis/trans mixture",b,0.01898,2133.57131,10.1021/acs.iecr.3c02255
methanesulfonic acid,a,methanesulfonic acid,b,0.00359,2465.9137,10.1021/acs.iecr.3c02255
1-piperazineethanol~|~n-(2-hydroxyethyl)piperazine,a,1-piperazineethanol~|~n-(2-hydroxyethyl)piperazine,b,0.00881,1532.90456,10.1021/acs.iecr.3c02255
3-ethyloxy-propylamine,a,3-ethyloxy-propylamine,b,0.01182,3321.34888,10.1021/acs.iecr.3c02255
4-(2-hydroxyethyl)morpholine~|~4-(2-hxdroxyethyl)morpholine,a,4-(2-hydroxyethyl)morpholine~|~4-(2-hxdroxyethyl)morpholine,b,0.0001,3059.49288,10.1021/acs.iecr.3c02255
"neohexanoic acid~|~2,2-dimethylbutyric acid~|~2,2-dimethylbutanoic acid",a,"neohexanoic acid~|~2,2-dimethylbutyric acid~|~2,2-dimethylbutanoic acid",b,0.04893,1983.61924,10.1021/acs.iecr.3c02255
"1,4-pentanediol",a,"1,4-pentanediol",b,0.0001,3564.96523,10.1021/acs.iecr.3c02255
3-methyl-4-heptanol,a,3-methyl-4-heptanol,b,0.9,847.64403,10.1021/acs.iecr.3c02255
"menthol~|~dl-(1r,2s,5r)-rel-5-methyl-2-(1-methylethyl)cyclohexanol",a,"menthol~|~dl-(1r,2s,5r)-rel-5-methyl-2-(1-methylethyl)cyclohexanol",b,0.0001,3100.2174,10.1021/acs.iecr.3c02255
"2-butyl-2-ethyl-1,3-propanediol",a,"2-butyl-2-ethyl-1,3-propanediol",b,0.09207,2913.72696,10.1021/acs.iecr.3c02255
"n,n-diethylpropane-1,3-diamine~|~n,n-diethyl-1,3-diaminopropane",a,"n,n-diethylpropane-1,3-diamine~|~n,n-diethyl-1,3-diaminopropane",b,0.00058,2179.57906,10.1021/acs.iecr.3c02255
1-dimethylamino-2-propanol,a,1-dimethylamino-2-propanol,b,0.0001,2013.97126,10.1021/acs.iecr.3c02255
3-methyl-1-heptanol,a,3-methyl-1-heptanol,b,0.9,863.90503,10.1021/acs.iecr.3c02255
2-methylhexanoic acid,a,2-methylhexanoic acid,b,0.53373,4687.23659,10.1021/acs.iecr.3c02255
"syringol~|~2,6-dimethoxyphenol",a,"syringol~|~2,6-dimethoxyphenol",b,0.00055,3481.43628,10.1021/acs.iecr.3c02255
5-hydroxymethylfurfural~|~5-(hydroxymethyl) furfural~|~5-(hydroxymethyl)furan-2-carbaldehyde,a,5-hydroxymethylfurfural~|~5-(hydroxymethyl) furfural~|~5-(hydroxymethyl)furan-2-carbaldehyde,b,0.00013,5000.0,10.1021/acs.iecr.3c02255
3-n-butoxypropylamine,a,3-n-butoxypropylamine,b,0.00408,1780.63533,10.1021/acs.iecr.3c02255
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-1-octanol",a,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-1-octanol",b,0.00264,3089.3345,10.1021/acs.iecr.3c02255
tetrapropylene glycol~|~2-[2-[2-(2-hydroxypropoxy)propoxy]propoxy]-1-propanol,a,tetrapropylene glycol~|~2-[2-[2-(2-hydroxypropoxy)propoxy]propoxy]-1-propanol,b,0.0001,3431.41122,10.1021/acs.iecr.3c02255
"propyleneglycolmonoallylether~|~1,2-propylene glycol 1-allyl ether",a,"propyleneglycolmonoallylether~|~1,2-propylene glycol 1-allyl ether",b,0.00313,2114.14462,10.1021/acs.iecr.3c02255
trans-isoeugenol,a,trans-isoeugenol,b,0.00803,2599.72402,10.1021/acs.iecr.3c02255
nonylphenols,a,nonylphenols,b,0.0001,200.0,10.1021/acs.iecr.3c02255
"4-oxa-1,7-heptanediol~|~1,3-dipropylene glycol",a,"4-oxa-1,7-heptanediol~|~1,3-dipropylene glycol",b,0.03104,2026.75029,10.1021/acs.iecr.3c02255
