Clapeyron Database File,,,,,,,,
PCSAFT Like Parameters,,,,,,,,
species,DIPPR Number,Mw,segment,sigma,epsilon,n_H,n_e,source
cyclooctene,274,110.2,3.011,3.8277,296.24,0,0,10.1016/j.fluid.2006.07.006
ethine~|~ethyne~|~acetylene,401,26.04,2.487,2.7578,156.17,0,0,10.1016/j.fluid.2006.07.006
propyne~|~1-propyne~|~methylacetylene,402,40.06,2.4826,3.1024,205.18,0,0,10.1016/j.fluid.2006.07.006
1-penten-3-yne~|~1-pentene-3-yne,421,66.1,2.1395,3.8483,291.31,0,0,10.1016/j.fluid.2006.07.006
1-penten-4-yne~|~1-pentene-4-yne,420,66.1,1.9914,3.8972,288.0,0,0,10.1016/j.fluid.2006.07.006
3-methyl-1-butyne,414,66.1,2.7145,3.6141,227.51,0,0,10.1016/j.fluid.2006.07.006
pentyne~|~1-pentyne,405,68.13,2.8902,3.5105,228.48,0,0,10.1016/j.fluid.2006.07.006
2-pentyne,412,68.13,2.3963,3.7472,269.25,0,0,10.1016/j.fluid.2006.07.006
hexyne~|~1-hexyne,413,82.14,3.1555,3.5961,237.56,0,0,10.1016/j.fluid.2006.07.006
2-hexyne,407,82.14,2.8604,3.7368,261.66,0,0,10.1016/j.fluid.2006.07.006
3-hexyne,406,82.14,2.9295,3.7,255.43,0,0,10.1016/j.fluid.2006.07.006
1-heptyne,2414,96.17,3.2242,3.7744,252.76,0,0,10.1016/j.fluid.2006.07.006
octyne~|~1-octyne,416,110.2,3.7647,3.7327,247.34,0,0,10.1016/j.fluid.2006.07.006
benzene,501,78.11,2.4653,3.6478,287.35,0,0,10.1021/ie0003887
toluene,502,92.14,2.8149,3.7169,285.69,0,0,10.1021/ie0003887
ethylbenzene,504,106.17,3.0799,3.7974,287.35,0,0,10.1021/ie0003887
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",506,106.17,3.1861,3.7563,283.98,0,0,10.1021/ie0003887
"oxylene~|~o-xylene~|~1,2-dimethylbenzene",505,106.17,3.1362,3.76,291.05,0,0,10.1021/ie0003887
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",507,106.17,3.1723,3.7781,283.77,0,0,10.1021/ie0003887
"mesitylene~|~1,3,5-trimethylbenzene",516,120.19,3.7547,3.7032,274.21,0,0,10.1016/j.fluid.2006.07.006
"1,2,3-trimethylbenzene",514,120.19,3.4688,3.7574,295.37,0,0,10.1016/j.fluid.2006.07.006
"1,2,4-trimethylbenzene",515,120.19,3.5204,3.777,287.45,0,0,10.1016/j.fluid.2006.07.006
cumene~|~isopropylbenzene,510,120.19,3.3198,3.8675,284.09,0,0,10.1016/j.fluid.2006.07.006
m-ethyltoluene~|~1-methyl-3-ethylbenzene~|~1-ethyl-3-methylbenzene,512,120.19,3.4593,3.8198,284.2,0,0,10.1016/j.fluid.2006.07.006
o-ethyltoluene~|~1-methyl-2-ethylbenzene~|~1-ethyl-2-methylbenzene,511,120.19,3.3408,3.8426,293.07,0,0,10.1016/j.fluid.2006.07.006
p-ethyltoluene~|~1-ethyl-4-methylbenzene,513,120.19,3.3364,3.8708,290.23,0,0,10.1016/j.fluid.2006.07.006
propylbenzene~|~n-propylbenzene,509,120.19,3.3438,3.8438,288.13,0,0,10.1021/ie0003887
"tetralin~|~1,2,3,4-tetrahydronaphthalene",701,132.21,3.3131,3.875,325.07,0,0,10.1021/ie0003887
"tert-butylbenzene~|~(1,1-dimethylethyl)benzene",521,134.22,3.4461,3.9669,287.79,0,0,10.1016/j.fluid.2006.07.006
p-cymene~|~p-isopropyltoluene~|~1-methyl-4-isopropylbenzene~|~1-(1-methylethyl)-4-methylbenzene,524,134.22,3.6022,3.9247,285.59,0,0,10.1016/j.fluid.2006.07.006
m-cymene~|~.beta.-cymene~|~1-methyl-3-(1-methylethyl)-benzene,523,134.22,3.4623,3.973,290.71,0,0,10.1016/j.fluid.2006.07.006
o-cymene~|~1-methyl-2-isopropylbenzene~|~1-isopropyl-2-methylbenzene,522,134.22,3.4251,3.9696,295.04,0,0,10.1016/j.fluid.2006.07.006
"m-diethylbenzene~|~1,3-diethylbenzene",525,134.22,3.6407,3.9049,287.43,0,0,10.1016/j.fluid.2006.07.006
"o-diethylbenzene~|~1,2-diethylbenzene",526,134.22,3.6217,3.6876,290.32,0,0,10.1016/j.fluid.2006.07.006
"p-diethylbenzene~|~1,4-diethylbenzene",527,134.22,3.7494,3.8741,284.27,0,0,10.1016/j.fluid.2006.07.006
"2-ethyl-m-xylene~|~2-ethyl-1,3-dimethylbenzene~|~1,3-dimethyl-2-ethylbenzene",576,134.22,3.826,3.8033,286.28,0,0,10.1016/j.fluid.2006.07.006
"2-ethyl-p-xylene~|~2-ethyl-1,4-dimethylbenzene~|~1-ethyl-2,5-dimethylbenzene",577,134.22,3.9306,3.7845,279.78,0,0,10.1016/j.fluid.2006.07.006
"4-ethyl-m-xylene~|~1-ethyl-2,4-dimethylbenzene",578,134.22,3.8626,3.8134,283.3,0,0,10.1016/j.fluid.2006.07.006
"4-ethyl-o-xylene~|~4-ethyl-1,2-dimethylbenzene~|~1-ethyl-3,4-dimethylbenzene",579,134.22,3.8007,3.8949,282.91,0,0,10.1016/j.fluid.2006.07.006
"5-ethyl-m-xylene~|~1-ethyl-3,5-dimethylbenzene",575,134.22,3.8293,3.8383,281.01,0,0,10.1016/j.fluid.2006.07.006
2-butylbenzene~|~sec-butyl benzene~|~(1-methylpropyl)benzene,520,134.22,3.18,4.0867,303.58,0,0,10.1016/j.fluid.2006.07.006
"1,2,4,5-tetramethylbenzene",532,134.22,3.948,3.7777,285.77,0,0,10.1016/j.fluid.2006.07.006
"3-ethyl-o-xylene~|~1-ethyl-2,3-dimethylbenzene",580,134.22,3.7826,3.825,290.74,0,0,10.1016/j.fluid.2006.07.006
