Clapeyron Database File
Twu like parameters
species,DIPPR Number,L,M,N,source
2-methyl-1-nonyl-1h-imidazole,,1.953135,0.883086916,0.483185646,
n-sec-butylimidazole,,0.086975,0.003248621,0.528081665,
n-cyclohexylpiperidine,,0.195668,0.837011031,2.768433196,
5-allyl-2-methoxyphenol,,1.265601,0.999981059,0.934262153,
"2,7-dimethylnaphthalene",,0.479463,0.840586159,1.755743522,
isopropenylacetate~|~1-methylvinyl acetate~|~1-methylvinyl ethanoate,,0.673699,0.89893822,1.300851707,
1-naphthalenamine,,0.624172,0.899905937,1.902079207,
4-methyldecane,,0.332154,0.83776233,2.757263338,
"1,3,5-hexatriene",,0.469275,0.922860271,1.676789595,
"propanoic acid, 2-hydroxy-, 1,1-dimethylethyl ester, (s)-",,0.64428,0.888863647,2.023473995,
phenol,,1.868069,0.999814074,0.47271495,
"n,n-dimethylbutanamine~|~n,n-dimethyl-1-butanamine",,0.490259,0.902963691,1.870009688,
"1,2-pentadiene",,1.179422,0.944502572,0.568367874,
"3,7-dimethyl-1,6-octadiene",,1.212594,0.995767517,0.804914531,
"1,3-dimethyl-4-nitrobenzene",,0.770028,0.876055053,1.329489059,
1-ethyl-2-methyl-1h-imidazole,,1.65e-5,0.060526091,0.550027831,
1-methoxycyclohexene,,1.087122,0.999943804,0.849709381,
"diethyldisulfide~|~3,4-dithiahexane",,0.856088,0.836581005,0.883108196,
pentanal~|~1-pentanal~|~valeraldehyde,,0.931329,0.877664945,0.853696048,
n-butyl lactate~|~butyl 2-hydroxypropanoate,,1.360622,0.999599387,0.760491153,
11-decyltetracosane,,2.157399,0.997844505,0.865184584,
2-ethylhexyl acrylate~|~2-ethylhexyl 2-propenoate~|~2-propenoicacid-2-ethylhexylester,,0.904483,0.944616897,1.398180801,
propanamide~|~propionamide,,0.626394,0.86915185,2.268385457,
"2-chloro-1-ethoxy-1,1,2-trifluoroethane~|~2-chloro-1,1,2-trifluoroethylethyl ether",,0.199043,0.831019106,2.883626589,
3-methyl-2-pentanone,,0.185431,0.838441101,2.745126036,
methylcyclopentane,,1.163981,0.955841161,0.577621462,
4-octanol,,1.452711,0.532349278,0.823310181,
2'-hydroxyacetophenone~|~1-(2-hydroxyphenyl)ethanone,,0.493662,0.526733768,0.97111456,
bromobenzene,,1.215984,0.999967468,0.580409706,
mesityl oxide~|~4-methyl-3-penten-2-one,,0.215423,0.843499995,2.65653384,
2-methylfuran,,0.856587,0.833791555,0.78953354,
cf3br~|~r13b1~|~bromotrifluoromethane~|~trifluorobromomethane,,0.437682,0.838512348,1.144751974,
octadecane~|~n-octadecane,,0.676992,0.784087246,1.923340475,
ozone,,0.460991,0.905086677,1.41387905,
benzyl chloride~|~(chloromethyl)benzene~|~(chloromethyl)-benzene,,1.382689,0.998736827,0.579806302,
propylcyclopentane~|~n-propylcyclopentane,,0.788301,0.853085762,0.971494216,
"re347mcc~|~hfe347mcc~|~heptafluoro-1-methoxypropane~|~heptafluoropropyl methyl ether~|~1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",,0.028245,0.793295405,3.727893403,
dibutyl oxalate~|~di-n-butyl oxalate,,0.953949,0.895356235,1.538250126,
(e)-2-pentene~|~trans-2-pentene,,1.043183,0.945285479,0.669839814,
dga~|~diglycolamine~|~2-aminoethoxyethanol~|~2-(2-aminoethoxy)ethanol,,1.267077,0.816063954,0.902386595,
dodecylamine~|~1-dodecanamine~|~n-dodecylamine,,0.72648,0.896192688,1.941927417,
"4-oxa-1,7-heptanediol~|~1,3-dipropylene glycol",,1.314657,0.999985294,0.979574883,
ethyl hydroxyethanoate,,0.697746,0.914189132,1.758148184,
"2,4-dimethylheptane",,0.775887,0.963704345,1.225208646,
2-nitrophenol~|~o-nitrophenol,,0.680577,0.918777205,1.714657437,
toluene,,0.584919,0.819980587,1.093842237,
di-tert-butyl glutarate,,0.398344,0.830596577,2.891803956,
"2,2,3,3-tetrafluoropropyl acrylate",,1.027615,0.968155998,1.192675876,
1-piperazineethanamine~|~n-(2-aminoethyl)piperazine~|~n-(.beta.-aminoethyl)piperazine),,0.996903,0.52204685,0.733057705,
2-propylpentanoic acid,,1.57065,0.999968983,0.910603814,
isobutanol~|~2-methyl-1-propanol,,2.18335,0.998440142,0.505434069,
"6,10-dimethyl-2-undecanone~|~2,6-dimethylundecane-10-one",,1.669265,0.987423003,0.685737138,
9-octylhexacosane,,1.338154,0.797443077,1.484134813,
"isoxazole~|~1,2-oxazole",,1.086562,0.999989356,0.652513147,
1-ethylcyclopentene,,1.154394,0.847094084,0.623706518,
ethylacetoacetate~|~ethyl 3-oxobutanoate,,0.393061,0.837407974,2.34707203,
diisopropylamine~|~di-isopropyl amine,,0.208404,0.841937931,2.683423851,
n-methylethylamine,,0.110755,0.523251968,1.093788901,
"1,1,1,2,2,3,4,5,5,5-decafluoro-3-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-4-(trifluoromethyl)pentane",,0.433792,0.848159671,2.283341305,
1-ethylcyclohexene,,0.442967,0.744493435,1.318603757,
HMF~|~5-hydroxymethylfurfural~|~5-(hydroxymethyl) furfural~|~5-(hydroxymethyl)furan-2-carbaldehyde,,0.930875,0.891443449,1.994411608,
3-ethyl-5-methylphenol,,1.55187,0.999942902,0.702037796,
1-nitropentane,,0.0,0.470402793,0.926009867,
benzylcyanide~|~phenylacetonitrile~|~benzeneacetonitrile,,0.877585,0.890808459,1.095115067,
propene~|~propylene,,0.768033,0.886467951,0.702321259,
"1,2-dichloro-3-ethylbenzene",,0.621148,0.923694878,1.669318418,
"1,2-butanediol",,0.417679,0.732285353,2.036021371,
nonylcyclohexane~|~n-nonylcyclohexane,,1.512318,0.999964802,0.765231916,
2-butanamine~|~sec-butylamine,,0.268661,0.806087511,1.904738864,
"1,1-dimethoxycyclopentane",,2.013424,0.977287487,0.362042893,
"gamma-caprolactone~|~2(3h)-furanone, 5-ethyldihydro-",,0.497395,0.848091044,1.708497434,
2-chloroethyl alpha-methylbenzyl ether,,1.173428,0.999993517,0.890326817,
"2,3-dimethyl-1,3-butadiene~|~1,3-butadiene, 2,3-dimethyl-",,0.465426,0.922523004,1.678160917,
2-(2-dimethylaminoethoxu)ethanol~|~2-(2-dimethylaminoethoxy) ethanol,,1.446822,0.999317045,0.830226327,
"cis-2-heptene~|~2-heptene, (z)-",,0.232983,0.853441113,2.494807854,
"2,4-dimethyl-3-pentanol",,0.812874,0.464809039,0.973212077,
"2,2-dimethyl-3-pentanone",,0.468847,0.755074179,1.314514689,
"2-hydroxy-1,1'-biphenyl",,0.968619,0.954035004,1.307671521,
methyl levulinate,,0.426352,0.766656918,1.852998164,
dichlorophenylphosphine,,0.0,0.262166207,0.641397131,
butyronitrile~|~butanenitrile~|~n-butyronitrile,,0.412555,0.881302221,1.961016615,
"3,7,11,15-tetramethyl-1-hexadecen-3-ol",,0.730596,0.889115718,2.020783615,
1-nonanamine~|~n-nonylamine~|~1-aminononane,,0.657153,0.898933366,1.912454505,
indene~|~1h-indene,,0.511232,0.827209024,1.345429684,
1-bromo-2-methylpropane,,0.493209,0.92339519,1.672069596,
7-butyldocosane,,2.144682,0.972452416,0.757311257,
"1,2-dichloropropane",,0.27112,0.784598403,1.609556042,
nitromethane,,0.253426,0.858665694,2.415975339,
"1,1-dimethoxycyclohexane",,2.414411,0.787929099,0.323660096,
r20b3~|~chbr3~|~bromoform~|~tribromomethane,,0.09391,0.839363807,2.728632152,
dowanol dpnp ~|~dipropylene glycol n-propyl ether~|~1-(1-methyl-2-propoxyethoxy)-2-propanol,,0.699182,0.909566975,1.803218561,
3-pentanol,,2.426443,0.606751006,0.528278802,
sec-butyl 2-chloroacetate,,1.088444,0.999900511,0.990234584,
"2-methylbutanal~|~butanal, 2-methyl-~|~2-methylbutyraldehyde",,0.803774,0.946451184,1.378120497,
methyl isobutyrate~|~methyl 2-methylpropanoate~|~2-methylpropanoicacidmethylester,,0.839803,0.745670677,0.931537538,
amyl acetate~|~pentylacetate~|~n-pentylacetate~|~pentyl ethanoate,,0.268353,0.800737774,2.475305505,
"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",,0.617265,0.816407947,1.020691203,
5-methyltetradecane,,0.727706,0.898762344,1.914245653,
3-methyl-2-butanone~|~methyl isopropyl ketone,,0.201712,0.843880399,2.650121351,
"tert-butylbenzene~|~(1,1-dimethylethyl)benzene",,1.278412,0.999939696,0.656358316,
ethyl benzoate,,0.599018,0.816524977,1.471042022,
(e)-tetradec-11-enyl acetate,,0.483203,0.824535686,3.013921744,
"isophorone~|~3,5,5-trimethyl-2-cyclohexen-1-one",,1.484496,0.999473932,0.577573699,
"2,5-dimethyltetrahydrofuran",,0.55085,0.915007113,1.750254329,
"diisopropyl sulfide~|~2,4-dimethyl-3-thiapentane",,0.60886,0.800514946,1.12341732,
"m-divinylbenzene~|~1,3-diethenylbenzene",,1.100634,0.985675404,0.781142463,
"2,3-dihydro-1h-inden-5-ol",,1.286873,0.9997538,0.723904425,
butylcyclohexane~|~n-butylcyclohexane,,0.567141,0.833110316,1.423961047,
ch3br~|~r40b1~|~bromomethane~|~methyl bromide,,0.417941,0.841579544,1.149934974,
n-methylpyrrolidone~|~n-methyl-2-pyrrolidone~|~methyl-2-pyrrolidinone~|~n-methyl-2-pyrrolidinone,,0.78315,0.88298508,1.097078708,
1-propyl-1h-benzimidazole,,2.025244,0.652654146,0.431587723,
"propanenitrile, 2-ethoxy-",,1.001363,0.983692652,1.088925993,
"1,3-dimethoxybenzene~|~resorcinol dimethyl ether",,0.291202,0.836268429,2.784515128,
3-(1-methylethyl)phenol,,1.169871,0.999997759,0.914142071,
2-(4-tert-butylphenoxy)ethyl acetate,,1.21351,0.978009677,1.124750586,
1-methylpropyl nitrite,,0.960662,0.999714102,0.544660104,
pyrrolidine,,2.351952,0.999538044,0.290318527,
(.+-.)-2-undecanol,,0.261381,0.797727508,3.669058304,
"dipa~|~diisopropanolamine~|~1,1'-iminobis-2-propanol~|~n-(2-hydroxypropyl)-2-hydroxy-1-propanamine",,0.869961,0.660448918,1.356373283,
octadecanol~|~1-octadecanol,,1.285043,0.768720554,1.152621997,
hydrogen,,0.022437,0.99999983,0.999673209,
"pentamethylbenzene~|~1,2,3,4,5-pentamethylbenzene",,1.26583,0.999877203,0.778912521,
"diisobutyl ketone~|~2,6-dimethyl-4-heptanone",,0.232541,0.829248498,2.915232236,
"2,2-dichloropropane",,0.238495,0.839056366,2.140412234,
"1,1-dichloroethene~|~1,1-dichloroethylene",,0.770965,0.861225467,0.757404371,
trans-octahydro-1h-indene~|~trans-bicyclo[4.3.0]nonane,,0.992915,0.853778851,0.733199904,
ethylbenzene,,0.777487,0.838770471,0.942328167,
2-methyl-3-heptanone,,0.132847,0.813094517,3.231699617,
di-tert-butyl oxalate,,0.469147,0.843253463,2.660615713,
"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorododecane",,0.831213,0.891854633,1.989767337,
n-dodecanenitrile,,0.72645,0.795165327,1.497284218,
1-decylcyanide,,1.323198,0.905686341,0.81770006,
methoxyacetic acid,,0.965793,0.941115718,1.437274571,
"1,4-benzodioxan",,1.168196,0.999874649,0.781670668,
"2,3-dimethyl-3-pentanol",,0.861735,0.79476436,1.175609352,
"tripropylamine~|~n,n-dipropyl-1-propanamine",,0.337508,0.849121444,2.563373589,
2-amino-3-methylpyridine,,0.584368,0.889662766,2.014580746,
1-methylphenanthrene,,0.988832,0.965840874,1.20082621,
"m-dichlorobenzene~|~1,3-dichlorobenzene",,0.5846,0.829283535,1.160075598,
2-nitroaniline~|~o-nitroaniline~|~2-nitrobenzeneamine,,1.303829,0.993622436,0.850803863,
decylbenzene~|~n-decylbenzene~|~1-phenyldecane,,0.320598,0.820951225,3.088234034,
2-butyne~|~dimethylacetylene,,0.654091,0.816079333,0.872858863,
diamylketone~|~6-undecanone~|~undecan-6-one,,0.893007,0.811815434,1.235763763,
"2-bromo-1,3-dimethylbenzene",,1.256687,0.999846883,0.679384964,
"2,2-dinitropropane",,0.0,0.216008502,0.743133981,
isopropyl chloroethanoate,,1.156978,0.999935539,0.866494754,
dibutyl sebacate~|~dibutyl decanedioate~|~decanedioicaciddibutylester,,1.705611,0.999964625,0.941485095,
"2,2,4,4-tetramethyl-3-pentanol",,1.115152,0.918408699,0.898025065,
"2,2-dimethylpropanal",,0.495007,0.92358385,1.670185001,
"2,3-dimethylbutane",,0.434564,0.799879505,1.268454465,
acrolein~|~2-propenal,,0.475996,0.934817465,1.511826409,
"4-propenyl-1,3-dioxane",,0.566393,0.923348412,1.67240442,
ethyl trichloroacetate,,1.040751,0.794752854,0.817609907,
3-methylundecane,,0.853754,0.941252306,1.432922758,
diethylcyanamide,,1.494537,0.999713034,0.526352496,
"perfluoro-1,3-dimethylcyclohexane",,0.633584,0.905559673,1.843460888,
1-ethyl-3-(1-methylethyl)benzene,,1.190294,0.999799178,0.767209431,
3-chlorotoluene~|~m-chlorotoluene,,1.282793,0.977833161,0.603105219,
"3,6-dimethylheptane",,0.534282,0.917457153,1.726798806,
"1,3-dimethylnaphthalene",,1.233868,0.999546229,0.770933289,
1-methylazacycloheptan-2-one,,0.226475,0.83824477,2.746719189,
"2,3-dihydro-4h-pyran",,0.474662,0.929773251,1.578961213,
"diisopropyl ketone~|~di-isopropyl ketone~|~2,4-dimethyl-3-pentanone",,0.941424,0.848130489,0.879223572,
dipentyl ether~|~di-n-pentylether,,1.055282,0.949889502,1.036860756,
di-tert-butyl succinate,,0.393336,0.830272194,2.897950549,
2-phenylethylamine~|~1-amino-2-phenyl-ethane,,0.398301,0.853092504,2.499854509,
5-methyl-3-hexanol,,1.719588,0.14532491,0.790206757,
"1,1,2,2-tetrafluoro-3-(1,1,2,2-tetrafluoroethoxy)propane",,0.148354,0.804306624,3.466927926,
4-methyl-2-pentanol,,0.246309,0.807126719,3.415618721,
"1,3,5-trimethylcyclohexane~|~1-trans-3,5-trimethylcyclohexane",,0.513641,0.921532635,1.68901451,
1-nitrosopiperidine,,0.57288,0.923675604,1.669522624,
"l-menthol~|~dl-menthol~|~(1r,2s,5r)-(-)-2-isopropyl-5-methyl-cyclohexanol",,1.823212,0.524273056,0.656036858,
"1,2-difluorobenzene",,0.442757,0.82014961,1.380529759,
ethyl acrylate~|~ethyl propenoate~|~2-propenoicacidethylester,,1.374631,0.999967345,0.617932341,
"1,2,3-benzenetriol~|~1,2,3-trihydroxybenzene",,0.739919,0.892220177,1.985668541,
tetrahydrothiophene,,0.718767,0.843908373,0.855390543,
13-undecylpentacosane,,0.425798,0.169634554,1.829799474,
"1,1-dihydroperfluoroheptanol~|~2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-1-heptanol",,2.228376,0.412728906,0.764297645,
butanethiol~|~1-butanethiol~|~butyl mercaptan~|~n-butyl mercaptan,,0.84609,0.845141834,0.82010588,
diethyl carbonate~|~carbonic acid diethyl ester,,0.531905,0.872246684,1.848292228,
butyne~|~1-butyne~|~ethylacetylene,,1.398627,0.999984289,0.448706221,
"2,2-dimethylheptane",,0.537006,0.918563673,1.716649021,
2-octyne,,0.0,0.226509179,0.743758672,
bis(2-chloro-1-methylethyl) ether,,1.443492,0.999973498,0.653567272,
"1,3-dioxane, 2,4-dimethyl- (cis,trans unspecified)",,2.918531,0.822731977,0.29390733,
"3,3-dimethylpentane",,0.43104,0.81879265,1.372349153,
2-methyltetrahydrofuran,,0.963896,0.999972455,0.806870135,
2-hydroxy-3-chlorobiphenyl,,1.157204,0.999844956,0.947967098,
lauric acid~|~dodecanoic acid~|~n-dodecanoic acid,,1.524802,0.781427572,1.018737317,
"2,2,3,3,3-pentafluoropropanol",,0.0,0.132922726,1.121455659,
phenyl isocyanate,,0.407169,0.810319666,1.629702831,
tert-butylamine~|~2-methyl-2-propanamine,,2.151134,0.999975506,0.335707524,
thp~|~tetrahydropyran,,0.808191,0.999831091,0.899446342,
m-propyltoluene~|~1-methyl-3-propylbenzene~|~1-methyl-3-propyl-benzene~|~1-methyl-3-n-propylbenzene,,0.75376,0.955030698,1.295280125,
"2,2-dimethylpropyl 2,2-dimethylpropanoic acid",,1.294028,0.999933996,0.799664375,
dibutyl carbonate,,0.266164,0.816629914,3.186227284,
2-heptyne,,0.0,0.262718421,0.697396779,
2-methyl-3-pentanone~|~ethyl isopropyl ketone,,1.031131,0.999968077,0.910734409,
1-(2-methoxyethyl)-1h-imidazole,,0.704707,0.318963175,0.680245608,
methylcyclopentene~|~1-methylcyclopentene,,0.167008,0.850148074,2.546858758,
teg~|~triethylene glycol,,0.255118,0.806613717,3.428841729,
methyl hydroxyethanoate~|~hydroxyaceticacidmethylester,,0.697388,0.914784518,1.752430988,
tert-butyl mercaptan~|~2-methyl-2-propanethiol,,0.163165,0.818335787,2.126360618,
phenylacetate~|~phenyl ethanoate~|~acetic acid phenyl ester,,1.212296,0.999934114,0.811613203,
"3,4-xylenol~|~3,4-dimethylphenol",,1.986448,0.999751116,0.492218707,
"1-iodo-2,6-dimethylbenzene",,1.223529,0.997492416,0.717570396,
"n,n-dimethylhydrazine~|~1,1-dimethylhydrazine",,0.2219,0.839565858,2.724303981,
(e)-4-octene~|~trans-4-octene,,0.147678,0.821992602,3.066737096,
"butanenitrile, 2-methyl-",,0.365695,0.868283695,2.274310904,
4-heptanol,,1.430715,0.532847947,0.830146441,
"1,3-dioxane, 2,5,5-trimethyl-2-phenyl-",,0.286299,0.001283059,0.661590986,
perfluorodecalin,,0.944103,0.970623056,1.1748641,
"diethylphthalate~|~diethyl 1,2-benzenedioate~|~phthalic acid diethyl ester",,1.535622,0.994517043,0.771470974,
"1,4-dihydronaphthalene",,0.284615,0.85111104,2.466901405,
pentylcyclohexane~|~n-pentylcyclohexane,,1.327898,0.999883492,0.700457087,
n-methylpiperazine~|~1-methylpiperazine,,0.525899,0.890978236,1.999599777,
"1,2-dichloro-2-methylpropane",,1.394914,0.999493176,0.559155867,
ethanesulfonyl chloride~|~1-ethanesulfonyl chloride,,0.618931,0.91277888,1.771772734,
1-propanethiol~|~propyl mercaptan~|~n-propyl mercaptan,,1.070516,0.907683138,0.617061423,
(2-chloroethyl) (2-chloropropyl) ether,,0.648279,0.923235935,1.673504835,
2-methyl-1-butene,,0.852957,0.883832072,0.793034335,
4-methylpentanoic acid,,0.261508,0.795209485,3.737434456,
"1,3-dioxolane, 2-phenyl-",,0.682679,0.89929872,1.907638992,
"o-(1,1,3,3-tetramethylbutyl)phenol",,0.86959,0.913188874,1.767792954,
butanone~|~2-butanone~|~methyl ethyl ketone,,0.662335,0.829135652,1.104692817,
m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene,,1.831469,0.999995542,0.514064419,
2-ethylbutanal,,0.669883,0.957344531,1.27535499,
hydracrylonitrile~|~ethylenecyanohydrin~|~3-hydroxypropanenitrile,,0.905104,0.937721038,1.476714236,
"n,n-dimethylaniline~|~n n-dimethylaniline",,0.62667,0.851931399,1.379464126,
glycerol,,1.699321,0.999978162,0.646618796,
cycloheptanol,,1.088914,0.575728203,0.892715051,
2-methylnaphthalene,,0.526948,0.831194103,1.424426287,
2-propenylbenzene,,1.429547,0.989225023,0.527017995,
p-tolualdehyde~|~4-methylbenzaldehyde,,1.191058,0.999993141,0.756312834,
"2,4-hexadiene~|~cis,trans-2,4-hexadiene",,0.461526,0.922903282,1.675471307,
isobutyl-tert-butylether~|~isobutyl tert-butyl ether~|~2-methyl-1-tert-butoxypropane,,0.188299,0.815006282,2.733942461,
indole~|~1h-indole,,1.012813,0.993653215,1.032588388,
"2,6-dimethyloctane",,0.282224,0.844158388,2.636628456,
"2,3,4,6-tetrachlorophenol",,1.387939,0.99995833,0.792886475,
octanenitrile,,0.329241,0.840198907,2.614978244,
isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol,,2.27259,0.998136167,0.479447315,
2-methylbenzofuran~|~2-methylbenzo[b]furan,,1.093321,0.999900429,0.877161587,
ethyl caprate~|~ethyl decanoate~|~decansaeureethylester~|~decanoic acid ethyl ester,,0.436773,0.830263103,2.898318796,
ethyl octanoate~|~octanoic acid ethyl ester,,0.243558,0.817420592,3.168202494,
"2,6-dimethyl-4-thiaheptane",,0.189156,0.827186353,2.94335314,
diethyl adipate~|~diethyl hexanedioate,,1.639875,0.999438816,0.755467788,
2-thiabutane~|~(methylthio)-ethane~|~methyl ethyl sulfide~|~ethyl methyl sulfide,,1.291764,0.99999216,0.523529723,
"allyl sulfide~|~diallylsulfide~|~3,3'-thiobis-1-propene",,0.893012,0.999981653,0.945471643,
salicylaldehyde~|~salicylicaldehyde~|~2-hydroxybenzaldehyde,,0.667268,0.925275762,1.64381815,
p-nitrotoluene~|~1-methyl-4-nitrobenzene~|~1-methyl-4-nitro-benzene,,0.612523,0.817774495,1.336587039,
2-n-propylphenol,,1.242531,0.999865824,0.970884404,
2-butenal~|~cis-crotonaldehyde,,0.657376,0.949273231,1.352099723,
1-pentylimidazole,,1.008847,0.346777238,0.590764037,
tridecanolactone,,0.0,0.222922845,0.753570554,
"1,3-dichloropropane",,1.212783,0.93745767,0.598911246,
2-methoxythiophene,,0.988182,0.88453947,0.833331039,
2-methylhexane,,0.883179,0.848305418,0.883937877,
4-nonanol,,2.722148,0.492783135,0.543495677,
1-methoxycyclopentene,,1.857694,0.997232969,0.435136568,
"2,2'-bipyridine",,0.35394,0.825700275,2.191733735,
(e)-1-(4-methoxyphenyl)propene,,1.185928,0.912822303,0.821561842,
"6,10-dimethyl-3,5,9-undecatrien-2-one",,0.190086,0.241328463,1.044788038,
"2,4,6-trinitrophenetole",,0.0,0.253506895,1.001327861,
"p-tert-butyltoluene~|~1-(1,1-dimethylethyl)-4-methylbenzene",,1.242428,0.999018586,0.71684574,
4-heptanone,,0.584859,0.80137208,1.394635507,
methanol,,0.694911,0.919907783,1.704126896,
m-terphenyl,,0.20428,0.807742189,3.398464422,
"2,4-dimethylquinoline",,0.664927,0.918285318,1.719206593,
cyclooctane,,0.868066,0.750145126,0.740036849,
p-chloronitrobenzene~|~4-chloronitrobenzene~|~1-chloro-4-nitrobenzene,,0.451998,0.860179912,1.993885765,
butylcyclopentane~|~n-butylcyclopentane,,0.678542,0.838225958,1.181601107,
1-methylcyclohexene,,1.058714,0.990324064,0.699762517,
"squalane~|~2,6,10,15,19,23-hexamethyltetracosane",,0.547887,0.808750061,3.374316346,
cyclooctanone,,0.455126,0.782499667,1.420859612,
"1,1,5-trihydroperfluoropentyl p-toluenesulfonate",,0.678857,0.860749341,2.385635344,
cis-decalin~|~decahydronaphthalene~|~cis-decahydronaphthalene,,1.421717,0.999982424,0.519193338,
1-bromoperfluorooctane~|~1br-perfluoro-n-octane~|~perfluorooctyl bromide,,0.756664,0.89499807,1.954961271,
nonadecane~|~n-nonadecane,,0.840482,0.79407604,1.694741487,
2-methyl-3-pentanol,,0.290116,0.590714335,1.64043325,
"2,3-dimethyl-2-butanol",,0.189256,0.805277992,3.383983379,
fluorobenzene,,0.430168,0.803106625,1.279584978,
"r356mmz~|~1,1,1,3,3,3-hexafluoro-2-methoxypropane~|~2-methoxy-1,1,1,3,3,3-hexafluoropropane",,1.159149,0.999977478,0.869023937,
1-methylnaphthalene,,0.756038,0.84722968,1.055751611,
sulfuryl chloride,,0.590861,0.923489273,1.671215982,
2-hexanone,,0.482507,0.811736524,1.565138686,
"2-ethylthiophene~|~thiophene, 2-ethyl-",,0.873199,0.999974824,0.896344056,
"1,1,1-trifluoro-2-(2,2,2-trifluoroethoxy)ethane",,2.769746,0.436717263,0.519061369,
"di-n-propylcarbonate~|~carbonic acid, dipropyl ester",,0.547004,0.860832622,2.384430647,
isobutane~|~2-methylpropane,,1.112109,0.99911847,0.543987413,
"1,1-dimethylpropyl acetate",,1.15732,0.999804851,0.858879288,
2-propylthiophene~|~2-n-propylthiophene,,0.233784,0.869290805,2.26596855,
2-methylpyridine,,0.677725,0.823489745,1.031875084,
2-methylpropyl butanoate,,1.306483,0.998758101,0.736604503,
"1-methylene-1,2,3,4-tetrahydronaphthalene",,0.666104,0.780624167,1.027549503,
myristic acid~|~tetradecanoic acid,,1.798584,0.85854318,0.88825166,
1-methyl-4-(1-methylethenyl)cyclohexene,,1.290338,0.999943205,0.621867587,
2-isopropoxyethanol,,0.366759,0.840808188,2.703079815,
diethyl glutarate,,0.884677,0.833563565,1.423374062,
"1,1'-thiobisoctane~|~1,1'-thiobis-octane~|~di-n-octyl thioether",,0.761612,0.874034842,1.879909798,
1-chloro-3-fluorobenzene,,0.09362,0.828322264,2.900469545,
"2,5,8,11,14-pentaoxapentadecane~|~tetraethylene glycol dimethyl ether",,0.379296,0.820240361,3.105543891,
"2-methyl-2,3-epoxypentane",,0.0,0.191028941,0.753805986,
isopentane~|~methylbutane~|~2-methylbutane,,0.907033,0.876373247,0.708696747,
"(1,1-dimethylpropyl)benzene",,1.934382,0.993982332,0.386559012,
n-methylmorpholine,,0.0,0.369544593,0.718322704,
1-hexadecene,,0.77043,0.784974037,1.601991933,
hydrogen cyanide,,0.530904,0.923450874,1.671433886,
propylbenzene~|~n-propylbenzene,,0.779952,0.839231346,1.00871063,
(fluoromethyl)benzene,,0.723969,0.836044944,1.164040235,
o-cymene~|~2-isopropyltoluene~|~1-methyl-2-isopropylbenzene~|~1-isopropyl-2-methylbenzene,,1.53479,0.998019798,0.547377535,
"2,2,3,3-tetrafluoro-1-propanol",,0.276328,0.819439999,3.119740749,
"1,4-dimethylnaphthalene",,1.346572,0.999685012,0.672421669,
"dipropyl succinate~|~butanedioic acid, dipropyl ester",,0.634025,0.869122133,2.268704497,
ethyl myristate~|~ethyl tetradecanoate~|~tetradecanoic acid ethyl ester,,0.826414,0.876842701,2.168173288,
ethyl lactate~|~dl-ethyl lactate~|~2-hydroxypropanoicacidethylester,,0.405395,0.84766946,2.586338844,
(e)-1-propenylbenzene,,0.720225,0.820804111,1.078511093,
methyl n-phenylcarbamate,,0.635336,0.874529739,2.197605138,
4-ethylphenol~|~p-ethylphenol,,1.566859,0.999963973,0.657641892,
cs2~|~carbon disulfide,,0.50286,0.879138601,0.92409822,
trans-decalin~|~trans-decahydronaphthalene,,1.371631,0.999530666,0.537167397,
methyl 2-hydroxybenzoate~|~salicylic acid methyl ester~|~2-hydroxy-benzoicacidmethylester,,0.464573,0.870106933,2.255495678,
"rel-(1r,2r,4r)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl acetate",,0.659052,0.904866408,1.850463685,
ammonia,,0.279439,0.857556004,1.978890402,
i2~|~iodine,,0.0,0.328980699,0.546230543,
2-(1-methylethyl)benzenamine,,0.555823,0.812597192,1.517802791,
4-chlorophenol~|~p-chlorophenol,,0.272241,0.833545467,2.827258872,
2-butoxyethyl acetate~|~2-butoxyethanolacetate~|~ethylene glycol monobutyl ether acetate,,0.32418,0.828100722,2.941094992,
nonylbenzene~|~n-nonylbenzene,,0.505438,0.846920616,2.599253182,
2-methylanthracene,,0.681907,0.89865706,1.777250691,
"3,5-diethylphenol",,0.979992,0.964034001,1.222429441,
indoline,,0.444812,0.859884328,2.398211742,
"9,10-dihydrophenanthrene",,1.0839,0.851049352,0.754494361,
d5~|~decamethylcyclopentasiloxane,,0.140636,0.79023711,3.715473656,
1-bromo-3-methylbenzene,,1.085996,0.999950851,0.80205004,
"1,2,3,5-tetramethylbenzene",,0.707442,0.870977105,1.293362011,
"3,4,5-trimethylphenol",,1.476836,0.999130451,0.727431967,
"1,5-diazabicyclo[4.3.0]non-5-ene",,1.275905,0.999995819,0.861811263,
"n1,n2-dimethylethane-1,2-diamine",,0.033823,0.001515235,0.74642225,
arsenic trichloride~|~arsenic (iii) chloride,,0.0,0.222790089,0.674195037,
