Clapeyron Database File
c-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;L;M;N
2-(difluoromethoxy)-1,1,1-trifluoroethane~|~1,1,1-trifluoro-2-(difluoromethoxy)ethane;150.0480158;444.88;3.42778585e6;0.194429163;0.832057387;2.86333406
benzo[h]quinoline~|~7,8-benzoquinoline;179.222;880.0;2.902484625e6;0.546308192;0.827511267;1.606896342
4-chlorophthalic anhydride;182.559;797.0;3.578729546e6;1.319820685;0.999859946;0.869640726
2-cyclohexen-1-one~|~2-cyclohexene-1-one;96.129;693.0;4.820123431e6;0.2805565;0.826681099;1.939883871
methyl ricinoleate~|~[r]-methyl 12-hydroxy-9-octadecenoate;312.494;804.0;1.195873413e6;0.567646987;0.305615973;1.368371609
ethine~|~ethyne~|~acetylene;26.038;308.6080793;6.287173301e6;0.722961811;0.957785444;0.910352846
2,7-di-tert-butylfluorene;278.439;906.0;2.116685091e6;1.640025179;0.919283761;0.651584291
isopropylcyclopentane~|~1-methylethylcyclopentane~|~(1-methylethyl)-cyclopentane;112.216;605.0;3.432807707e6;0.377412413;0.824702387;1.558066327
5-fluoro-1,3-isobenzofurandione;166.1074032;761.0;3.539902331e6;1.208584013;0.999983852;0.959788424
(e)-2-octene~|~trans-2-octene;112.216;569.8;2.6861458e6;0.809403389;0.925699661;1.185332277
1,2-dichloro-3-nitrobenzene;191.995;763.0;3.812619797e6;0.22992224;0.819305393;3.125934621
trans-perfluorodecahydronaphthalene;462.0812569;543.0;1.330357109e6;0.487392061;0.803481817;1.98851733
cyclododecane;168.324;755.0;2.87691785e6;0.368069167;0.810796261;1.783894412
butane, 2,3-dichloro-1,1,1,4,4,4-hexafluoro-, meso-;234.950419;518.0;2.486495687e6;1.297997044;0.899468873;0.631046953
deuterium sulfide;34.076;372.27454;8.894418068e6;0.549412539;0.844347271;0.818205535
1,2-dichlorononane;197.143;705.0;2.236678986e6;1.139875982;0.963744851;0.932312079
1,1,1,2,2-pentafluoropropane;134.0490158;380.085392;3.135507425e6;0.170226395;0.838108072;2.67727037
ethyl tert-butyl disulfide~|~2,2-dimethyl-3,4-dithiahexane;150.298;665.0;3.181259349e6;0.929388659;0.913500223;0.880504678
