original_nasa_species,final_species,status
acetyl radical~|~acetyl~|~ch3co_acetyl~|~ch3co-acetyl,acetyl radical~|~acetyl~|~ch3co_acetyl~|~ch3co-acetyl,missing_kept_nasa_only
ethene~|~ethylene~|~1-ethylene~|~c2h4,ethene~|~ethylene~|~1-ethylene~|~c2h4,matched
oxirane~|~ethyleneoxide~|~ethylene oxide~|~c2h4o_ethylen_o~|~c2h4o-ethylen-o,oxirane~|~ethyleneoxide~|~ethylene oxide~|~c2h4o_ethylen_o~|~c2h4o-ethylen-o,matched
ethanal~|~acetaldehyde~|~ch3cho_ethanal~|~ch3cho-ethanal,ethanal~|~acetaldehyde~|~ch3cho_ethanal~|~ch3cho-ethanal,matched
ch3cooh,ch3cooh,missing_kept_nasa_only
ohch2cooh,ohch2cooh,missing_kept_nasa_only
ethyl radical~|~ethyl~|~c2h5,ethyl radical~|~ethyl~|~c2h5,missing_kept_nasa_only
bromoethane~|~ethyl bromide~|~c2h5br,bromoethane~|~ethyl bromide~|~c2h5br,matched
ethane~|~c2h6,ethane~|~c2h6,matched
ch3n2ch3,ch3n2ch3,missing_kept_nasa_only
ethanol~|~ethyl alcohol~|~c2h5oh,ethanol~|~ethyl alcohol~|~c2h5oh,matched
ch3och3,ch3och3,missing_kept_nasa_only
ch3o2ch3,ch3o2ch3,missing_kept_nasa_only
ccn,ccn,missing_kept_nasa_only
cnc,cnc,missing_kept_nasa_only
occn,occn,missing_kept_nasa_only
c2n2,c2n2,missing_kept_nasa_only
c2o,c2o,missing_kept_nasa_only
c3,c3,missing_kept_nasa_only
1-propynyl radical~|~1-propynyl~|~c3h3_1_propynl~|~c3h3-1-propynl,1-propynyl radical~|~1-propynyl~|~c3h3_1_propynl~|~c3h3-1-propynl,missing_kept_nasa_only
2-propynyl radical~|~propargyl~|~c3h3_2_propynl~|~c3h3-2-propynl,2-propynyl radical~|~propargyl~|~c3h3_2_propynl~|~c3h3-2-propynl,missing_kept_nasa_only
"propadiene~|~1,2-propadiene~|~allene~|~c3h4_allene~|~c3h4-allene","propadiene~|~1,2-propadiene~|~allene~|~c3h4_allene~|~c3h4-allene",matched
propyne~|~1-propyne~|~methylacetylene~|~c3h4_propyne~|~c3h4-propyne,propyne~|~1-propyne~|~methylacetylene~|~c3h4_propyne~|~c3h4-propyne,matched
Cyclopropene~|~c3h4_cyclo~|~c3h4-cyclo,Cyclopropene~|~c3h4_cyclo~|~c3h4-cyclo,matched
allyl radical~|~allyl~|~c3h5_allyl~|~c3h5-allyl,allyl radical~|~allyl~|~c3h5_allyl~|~c3h5-allyl,missing_kept_nasa_only
propene~|~propylene~|~c3h6_propylene~|~c3h6-propylene,propene~|~propylene~|~c3h6_propylene~|~c3h6-propylene,matched
cyclopropane~|~c3h6_cyclo~|~c3h6-cyclo,cyclopropane~|~c3h6_cyclo~|~c3h6-cyclo,matched
"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide~|~propylene oxide~|~c3h6o_propylox~|~c3h6o-propylox","methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide~|~propylene oxide~|~c3h6o_propylox~|~c3h6o-propylox",matched
acetone~|~propanone~|~c3h6o_acetone~|~c3h6o-acetone,acetone~|~propanone~|~c3h6o_acetone~|~c3h6o-acetone,matched
propanal~|~1-propanal~|~propionaldehyde~|~c3h6o_propanal~|~c3h6o-propanal,propanal~|~1-propanal~|~propionaldehyde~|~c3h6o_propanal~|~c3h6o-propanal,matched
n-propyl radical~|~1-propyl radical~|~c3h7_n_propyl~|~c3h7-n-propyl,n-propyl radical~|~1-propyl radical~|~c3h7_n_propyl~|~c3h7-n-propyl,missing_kept_nasa_only
isopropyl radical~|~2-propyl radical~|~c3h7_i_propyl~|~c3h7-i-propyl,isopropyl radical~|~2-propyl radical~|~c3h7_i_propyl~|~c3h7-i-propyl,missing_kept_nasa_only
propane~|~n-propane~|~c3h8,propane~|~n-propane~|~c3h8,matched
propanol~|~1-propanol~|~propan-1-ol~|~n-propanol~|~c3h8o_1propanol~|~c3h8o-1propanol,propanol~|~1-propanol~|~propan-1-ol~|~n-propanol~|~c3h8o_1propanol~|~c3h8o-1propanol,matched
2-propanol~|~propan-2-ol~|~isopropanol~|~c3h8o_2propanol~|~c3h8o-2propanol,2-propanol~|~propan-2-ol~|~isopropanol~|~c3h8o_2propanol~|~c3h8o-2propanol,matched
cncocn,cncocn,missing_kept_nasa_only
c3o2,c3o2,missing_kept_nasa_only
c4,c4,missing_kept_nasa_only
"1,3-butadiyne~|~Butadiyne~|~c4h2~|~Diacetylene~|~C4H2_butadiyne~|~c4h2-butadiyne","1,3-butadiyne~|~Butadiyne~|~c4h2~|~Diacetylene~|~C4H2_butadiyne~|~c4h2-butadiyne",matched
1-3minuscyclo~|~c4h4_1_3minuscyclo~|~c4h4-1-3minuscyclo,1-3minuscyclo~|~c4h4_1_3minuscyclo~|~c4h4-1-3minuscyclo,missing_kept_nasa_only
"butadiene~|~1,3-butadiene~|~C4H6_butadiene~|~c4h6-butadiene","butadiene~|~1,3-butadiene~|~C4H6_butadiene~|~c4h6-butadiene",matched
butyne~|~1-butyne~|~ethylacetylene~|~but-1-yne~|~c4h6_1butyne~|~c4h6-1butyne,butyne~|~1-butyne~|~ethylacetylene~|~but-1-yne~|~c4h6_1butyne~|~c4h6-1butyne,matched
2-butyne~|~dimethylacetylene~|~but-2-yne~|~c4h6_2butyne~|~c4h6-2butyne,2-butyne~|~dimethylacetylene~|~but-2-yne~|~c4h6_2butyne~|~c4h6-2butyne,matched
cyclobutene~|~c4h6_cyclo~|~c4h6-cyclo,cyclobutene~|~c4h6_cyclo~|~c4h6-cyclo,matched
butene~|~1-butene~|~but-1-ene~|~c4h8_1_butene~|~c4h8-1-butene,butene~|~1-butene~|~but-1-ene~|~c4h8_1_butene~|~c4h8-1-butene,matched
(z)-2-butene~|~cis-2-butene~|~cis-but-2-ene~|~c4h8_cis2_buten~|~c4h8-cis2-buten,(z)-2-butene~|~cis-2-butene~|~cis-but-2-ene~|~c4h8_cis2_buten~|~c4h8-cis2-buten,matched
isobutene~|~isobutylene~|~2-methylpropene~|~c4h8_isobutene~|~c4h8-isobutene,isobutene~|~isobutylene~|~2-methylpropene~|~c4h8_isobutene~|~c4h8-isobutene,matched
cyclobutane~|~c4h8_cyclo~|~c4h8-cyclo,cyclobutane~|~c4h8_cyclo~|~c4h8-cyclo,matched
n-butyl radical~|~1-butyl radical~|~c4h9_n_butyl~|~c4h9-n-butyl,n-butyl radical~|~1-butyl radical~|~c4h9_n_butyl~|~c4h9-n-butyl,missing_kept_nasa_only
isobutyl radical~|~c4h9_i_butyl~|~c4h9-i-butyl,isobutyl radical~|~c4h9_i_butyl~|~c4h9-i-butyl,missing_kept_nasa_only
sec-butyl radical~|~c4h9_s_butyl~|~c4h9-s-butyl,sec-butyl radical~|~c4h9_s_butyl~|~c4h9-s-butyl,missing_kept_nasa_only
tert-butyl radical~|~c4h9_t_butyl~|~c4h9-t-butyl,tert-butyl radical~|~c4h9_t_butyl~|~c4h9-t-butyl,missing_kept_nasa_only
